pcd2,lsoa21
AB1,S01013482
AB1,S01013483
AB1,S01013484
AB1,S01013485
AB1,S01013486
AB1,S01013487
AB1,S01013488
AB1,S01013489
AB1,S01013490
AB1,S01013491
AB1,S01013492
AB1,S01013493
AB1,S01013495
AB1,S01013496
AB1,S01013497
AB1,S01013498
AB1,S01013499
AB1,S01013500
AB1,S01013501
AB1,S01013502
AB1,S01013503
AB1,S01013504
AB1,S01013505
AB1,S01013506
AB1,S01013507
AB1,S01013508
AB1,S01013509
AB1,S01013510
AB1,S01013511
AB1,S01013512
AB1,S01013513
AB1,S01013514
AB1,S01013515
AB1,S01013516
AB1,S01013517
AB1,S01013518
AB1,S01013519
AB1,S01013520
AB1,S01013521
AB1,S01013522
AB1,S01013523
AB1,S01013524
AB1,S01013525
AB1,S01013526
AB1,S01013527
AB1,S01013528
AB1,S01013529
AB1,S01013530
AB1,S01013531
AB1,S01013543
AB1,S01013544
AB1,S01013549
AB1,S01013550
AB1,S01013553
AB1,S01013554
AB1,S01013555
AB1,S01013556
AB1,S01013557
AB1,S01013558
AB1,S01013559
AB1,S01013560
AB1,S01013561
AB1,S01013562
AB1,S01013563
AB1,S01013564
AB1,S01013565
AB1,S01013566
AB1,S01013567
AB1,S01013568
AB1,S01013569
AB1,S01013570
AB1,S01013571
AB1,S01013572
AB1,S01013573
AB1,S01013574
AB1,S01013575
AB1,S01013576
AB1,S01013577
AB1,S01013578
AB1,S01013579
AB1,S01013580
AB1,S01013581
AB1,S01013582
AB1,S01013583
AB1,S01013584
AB1,S01013585
AB1,S01013586
AB1,S01013587
AB1,S01013588
AB1,S01013590
AB1,S01013591
AB1,S01013592
AB1,S01013593
AB1,S01013594
AB1,S01013595
AB1,S01013596
AB1,S01013597
AB1,S01013598
AB1,S01013599
AB1,S01013600
AB1,S01013601
AB1,S01013602
AB1,S01013603
AB1,S01013604
AB1,S01013605
AB1,S01013606
AB1,S01013607
AB1,S01013608
AB1,S01013609
AB1,S01013610
AB1,S01013611
AB1,S01013612
AB1,S01013613
AB1,S01013614
AB1,S01013615
AB1,S01013616
AB1,S01013617
AB1,S01013618
AB1,S01013623
AB1,S01013626
AB1,S01013627
AB1,S01013628
AB1,S01013629
AB1,S01013633
AB1,S01013637
AB1,S01013715
AB1,S01013716
AB1,S01013718
AB1,S01013721
AB1,S01013722
AB1,S01013723
AB1,S01013817
AB1,S01013819
AB1,S01013841
AB1,S01013842
AB1,S01013843
AB1,S01013844
AB1,S01013845
AB1,S01013846
AB1,S01013847
AB1,S01013848
AB1,S01013849
AB1,S01013851
AB1,S01013853
AB1,S01013854
AB1,S01013855
AB1,S01013856
AB1,S01013858
AB1,S01013860
AB1,S01013938
